knowledge_id,category,topic,question,answer,policy,eligibility,process,timeline,escalation_required,source_reference
KB-021,Returns and Refunds,Cancellation after shipment,Can an order be cancelled after shipment?,"After shipment, cancellation may no longer be available and the customer may need to follow the approved return process.",The chatbot does not modify a live order or guarantee that a shipment can be stopped.,Any available option depends on verified order state and the approved cancellation or returns policy.,Explain the general policy and escalate when the customer needs an order-specific action or exception.,Human support confirms the available next step based on live shipment information.,Yes,Cancellation Policy
KB-022,Returns and Refunds,Cancellation restrictions,What restrictions can apply to cancellation?,Cancellation may be restricted once an order reaches a later fulfillment or shipment state.,Cancellation restrictions are governed by the approved cancellation policy and the live order state.,Only an authorized review can determine whether a specific order can be cancelled.,Explain the general restriction and escalate a request that requires checking or changing a live order.,No cancellation outcome or timing is promised without verified order information.,Yes,Cancellation Policy
KB-023,Returns and Refunds,Exchange eligibility,Can an eligible item be exchanged?,An exchange may be available for an eligible item when the approved exchange policy conditions are met.,Exchange eligibility follows the approved exchange and returns policies.,The item must meet the stated policy conditions and any applicable exclusions.,Explain the general eligibility rules and escalate when a specific exchange must be created or approved.,The exchange timeline follows the approved process and cannot be confirmed without live information.,No,Exchange Policy
KB-024,Returns and Refunds,Exchange process,What is the exchange process?,The customer should follow the approved exchange instructions for an eligible item and provide any required information.,The chatbot provides exchange guidance but does not create or authorize an exchange transaction.,The process applies only when the item and requested exchange meet the approved policy.,Explain the documented steps and route the request to human support when a live exchange action is needed.,Human support or the approved process provides any order-specific exchange timing.,No,Exchange Policy
KB-025,Returns and Refunds,Exchange restrictions,What can prevent an exchange?,An exchange may be unavailable when the item does not meet the approved eligibility conditions or the requested exchange is excluded by policy.,Only documented exchange restrictions should be described; exceptions require human review.,"Eligibility depends on the item, request, and applicable policy conditions.",Explain the general restriction and escalate requests involving exceptions or live inventory decisions.,No exchange timing is promised when eligibility or availability is unresolved.,Yes,Exchange Policy
KB-026,Order Status,Order-status questions,Can the chatbot tell me my order status?,The chatbot can explain order-status terms and use verified live information only when that information is connected and available.,General order-status knowledge must be distinguished from live transactional information.,A live status can be discussed only when an approved connected source provides it for the interaction.,Ask for only the information permitted by the approved process and escalate when live status is unavailable.,No order-specific timeline is provided without verified live order information.,No,Ecommerce Customer Service Policy
KB-027,Order Status,Information required for order-status enquiries,What information may be needed to review an order-status question?,Human support may need approved order-identifying information to locate and review a specific order.,Request only information allowed by the approved customer-service process and never request credentials or payment secrets.,Order-specific review requires sufficient verified information and authorized access.,Explain what type of approved order reference may be needed and escalate if verification cannot be completed.,Human support provides the order-specific status after authorized review.,Yes,Ecommerce Customer Service Policy
KB-028,Order Status,Live order information unavailable,What if live order information is unavailable?,"The chatbot must say that live order information is unavailable and must not guess, invent, or imply a current order status.",General policy information cannot be presented as a live order update.,Applies whenever no verified connected source provides the requested order information.,"Explain the limitation, document the request when appropriate, and direct the customer to human support.",No order-specific timeline is available from the chatbot in this situation.,Yes,Ecommerce Customer Service Policy
KB-029,General Customer Service,Frequently asked questions,What types of questions can the chatbot answer?,"The chatbot can answer routine questions covered by approved knowledge about shipping, delivery, returns, refunds, exchanges, and general order-status guidance.",Answers must stay within approved business information and the initial automation scope.,"Routine, low-risk informational questions are generally suitable for automated guidance.","Identify the topic, provide the relevant policy information, and escalate when the question requires an exception or transaction.",Response timing is immediate for available policy information; order-specific timing requires human review when live data is absent.,No,Ecommerce Customer Service Policy
KB-030,Complaint and Sentiment Handling,Frustrated customers,How should a frustrated customer interaction be handled?,"Acknowledge the customer's frustration, provide relevant approved information, and consider escalation when the concern cannot be resolved safely through general guidance.","The response should remain respectful and should not dismiss, argue with, or blame the customer.",Applies when the interaction contains frustration or dissatisfaction signals.,"Recognize sentiment, address the stated concern, document relevant details, and escalate when risk or complexity is high.",Human support determines any follow-up timeline when escalation is required.,Yes,Ecommerce Customer Service Policy
KB-031,Complaint and Sentiment Handling,Repeated complaints,What should happen when a customer repeats the same complaint?,Repeated complaints should be recognized as a signal that the issue may not have been resolved and may require human review.,Do not repeatedly provide the same generic answer when the customer indicates that it did not resolve the concern.,Applies when the customer raises the same unresolved issue multiple times.,"Summarize the concern, document the conversation details, acknowledge the unresolved issue, and escalate.",Human support confirms the follow-up timeline; the chatbot does not promise resolution.,Yes,Ecommerce Customer Service Policy
KB-032,Complaint and Sentiment Handling,Damaged product complaints,How should a complaint about a damaged product be handled?,"A damaged product complaint requires acknowledgement, relevant conversation documentation, and human review for the appropriate remedy.","The chatbot must not decide compensation, issue a refund, or authorize a replacement.","Applies when the customer reports damage, defect, or condition concerns about a delivered product.",Capture the relevant details through the approved documentation process and escalate to human support.,Human support determines the review and resolution timeline.,Yes,Returns Policy
KB-033,Complaint and Sentiment Handling,Complex or exceptional cases,Which cases require human support?,"Cases requiring exceptions, privileged access, transactional authority, sensitive judgment, or investigation beyond approved policy guidance require human support.","The initial chatbot scope is limited to routine, low-risk informational support.",Applies whenever the request falls outside clear approved guidance or involves a protected action.,"Explain the limitation, document relevant details, and escalate without inventing an answer or outcome.",Human support determines the next step and timing.,Yes,Ecommerce Customer Service Policy
KB-034,Conversation Documentation,Documenting a customer conversation,What conversation details should be documented?,"Document relevant customer questions, stated concerns, policy information provided, requested follow-up, and escalation context.",Documentation should be limited to relevant support details and must not include unnecessary sensitive information.,"Applies to customer interactions where continuity, follow-up, or escalation may benefit from a record.",Capture a concise factual summary through the approved connected documentation tool or integration.,Documentation should occur during or promptly after the relevant interaction according to the approved process.,No,Ecommerce Customer Service Policy
KB-035,Conversation Documentation,Documentation for escalated cases,What should be documented before escalating a case?,"Record the customer's stated issue, relevant policy topic, information already provided, sentiment or risk signals, and the reason for escalation.","Documentation supports handoff and must remain factual, relevant, and free of invented details.",Applies whenever a case is escalated to human support.,Summarize the interaction through the connected documentation tool or integration before handoff when available.,Document before or at the time of escalation according to the approved support process.,No,Ecommerce Customer Service Policy
KB-036,Conversation Documentation,Documentation unavailable,What should happen if the conversation documentation tool is unavailable?,The chatbot should state the limitation internally through the approved support process and ensure the case is routed for human follow-up when documentation is required.,The chatbot must not claim that a conversation was documented when the connected tool or integration did not confirm it.,Applies when required conversation documentation cannot be completed through the approved tool.,Preserve the relevant interaction context where permitted and escalate to human support for the next documented step.,Human support determines when documentation can be completed.,Yes,Ecommerce Customer Service Policy
KB-037,Order Status,Order-status terminology,What does an order status generally describe?,"An order status generally describes a stage such as processing, shipped, in delivery, delivered, or another approved business state.",Only status terms defined by approved business information should be explained.,General terminology can be explained without access to a customer's live order.,Explain the meaning of the approved status term provided by the customer or connected source.,A status label does not by itself guarantee a delivery date.,No,Ecommerce Customer Service Policy
KB-038,Shipping and Delivery,Delivery address changes,Can the chatbot change my delivery address?,No. Changing a delivery address requires authorized access and is outside the initial chatbot scope.,"The chatbot must not modify customer accounts, delivery addresses, or live orders.",No automated eligibility applies because the action is out of scope.,Explain the limitation and direct the customer to authorized human support.,Human support determines whether any authorized action remains possible.,Yes,Shipping Policy
KB-039,Returns and Refunds,Real refund execution,Can the chatbot issue my refund?,No. The chatbot can explain approved refund information but cannot execute a real refund.,Real financial transactions and refund execution require authorized human or transactional systems outside the initial scope.,No automated eligibility applies because refund execution is out of scope.,Explain the limitation and escalate the request to authorized human support.,Human support determines the applicable review or processing timeline.,Yes,Refund Policy
KB-040,General Customer Service,Payment information changes,Can the chatbot update my payment information?,No. Modifying customer payment information requires privileged access and is outside the initial chatbot scope.,"The chatbot must not request, store, or modify payment credentials or payment details.",No automated eligibility applies because payment-information changes are out of scope.,Explain the limitation and direct the customer to the approved authorized support process.,Human support or the authorized process determines the next step.,Yes,Ecommerce Customer Service Policy
